,time,high,low,open,volumefrom,volumeto,close,RealTime
1584,1609804800,861.65,778.48,768.56,2577668.62,2085204945.09,808.95,2021-01-05
1585,1609891200,933.81,849.02,808.95,2138764.35,1902180835.26,889.38,2021-01-06
1586,1609977600,962.04,904.3,889.38,1917279.05,1736023497.64,905.46,2021-01-07
1587,1610064000,934.29,870.98,905.46,1810693.83,1628145683.41,899.18,2021-01-08
1588,1610150400,952.69,874.96,899.18,1323465.22,1249073208.22,943.79,2021-01-09
1589,1610236800,958.12,893.87,943.79,1793348.47,1669004496.08,930.66,2021-01-10
1590,1610323200,868.99,780.78,930.66,2703197.24,2184630192.75,808.17,2021-01-11
1591,1610409600,800.46,755.57,808.17,1437378.11,1104681468.18,768.54,2021-01-12
1592,1610496000,859.32,823.41,768.54,992417.08,823155142.77,829.44,2021-01-13
1593,1610582400,902.31,844.1,829.44,1115131.74,1005232218.72,901.45,2021-01-14
1594,1610668800,882.45,847.46,901.45,1334699.41,1151017316.42,862.38,2021-01-15
1595,1610755200,923.99,841.66,862.38,1148418.53,1039777422.86,905.4,2021-01-16
1596,1610841600,919.93,891.69,905.4,938872.82,852796713.6,908.32,2021-01-17
1597,1610928000,934.4,900.13,908.32,820736.1,760913581.97,927.11,2021-01-18
1598,1611014400,1025.47,903.85,927.11,1904186.57,1914012736.34,1005.16,2021-01-19
1599,1611100800,1012.68,944.6,1005.16,1456955.4,1469377929.89,1008.53,2021-01-20
1600,1611187200,876.47,812.17,1008.53,1415626.19,1149735606.16,812.17,2021-01-21
1601,1611273600,927.63,858.1,812.17,1316463.09,1188771831.06,903.0,2021-01-22
1602,1611360000,919.95,874.59,903.0,759821.62,686320467.9,903.27,2021-01-23
1603,1611446400,1022.31,906.49,903.27,1122075.8,1141553987.87,1017.36,2021-01-24
1604,1611532800,1061.65,956.71,1017.36,1568801.99,1514982387.49,965.69,2021-01-25
1605,1611619200,1000.81,949.43,965.69,1089110.93,1084063472.84,995.37,2021-01-26
1606,1611705600,948.48,899.5,995.37,1139848.71,1039504439.52,911.97,2021-01-27
1607,1611792000,1030.64,969.09,911.97,1021783.76,990941141.39,969.81,2021-01-28
1608,1611878400,1021.93,913.73,969.81,2124211.5,2141537933.8,1008.16,2021-01-29
1609,1611964800,1014.53,983.45,1008.16,976869.86,983964647.76,1007.26,2021-01-30
1610,1612051200,981.03,960.43,1007.26,676020.07,649759973.71,961.15,2021-01-31
1611,1612137600,1008.59,945.23,961.15,783974.31,788973717.94,1006.38,2021-02-01
1612,1612224000,1127.46,1055.09,1006.38,1332169.96,1477690713.76,1109.24,2021-02-02
1613,1612310400,1227.93,1153.86,1109.24,1080324.27,1320591722.18,1222.4,2021-02-03
1614,1612396800,1211.43,1161.85,1222.4,1011575.51,1183250354.58,1169.71,2021-02-04
1615,1612483200,1288.6,1205.67,1169.71,949856.75,1191362475.77,1254.25,2021-02-05
1616,1612569600,1296.2,1165.2,1254.25,1445907.53,1772227847.59,1225.69,2021-02-06
1617,1612656000,1222.18,1134.62,1225.69,876143.75,1031082622.42,1176.84,2021-02-07
1618,1612742400,1428.58,1264.63,1176.84,1492602.2,1904242652.49,1275.79,2021-02-08
1619,1612828800,1309.61,1234.08,1275.79,1283857.01,1648451994.7,1283.98,2021-02-09
1620,1612915200,1279.55,1223.97,1283.98,974975.06,1231051748.13,1262.65,2021-02-10
1621,1613001600,1363.41,1285.44,1262.65,807295.53,1046440832.43,1296.23,2021-02-11
1622,1613088000,1348.49,1262.32,1296.23,853102.86,1138980879.9,1335.1,2021-02-12
1623,1613174400,1344.6,1305.57,1335.1,618448.93,815262926.97,1318.24,2021-02-13
1624,1613260800,1367.05,1297.65,1318.24,683743.38,892320017.71,1305.05,2021-02-14
1625,1613347200,1311.93,1250.1,1305.05,746577.48,957019114.53,1281.88,2021-02-15
1626,1613433600,1326.5,1270.4,1281.88,732067.58,941977702.59,1286.74,2021-02-16
1627,1613520000,1365.29,1315.95,1286.74,833760.02,1114455631.25,1336.66,2021-02-17
1628,1613606400,1391.64,1309.1,1336.66,875466.26,1218009771.08,1391.27,2021-02-18
1629,1613692800,1508.12,1393.34,1391.27,797907.59,1116862292.33,1399.74,2021-02-19
1630,1613779200,1467.68,1347.88,1399.74,1022454.85,1402722861.63,1371.92,2021-02-20
1631,1613865600,1420.39,1368.59,1371.92,535622.71,741414525.82,1384.21,2021-02-21
1632,1613952000,1311.65,1225.98,1384.21,1108764.18,1405964028.85,1268.05,2021-02-22
1633,1614038400,1150.12,1048.78,1268.05,1364905.25,1527647031.8,1119.23,2021-02-23
